device,event,n_student_params,run_name,teacher_cache_dir,teacher_cache_load_workers,teacher_cache_mode,teacher_cache_prefetch,run,loss_type,optimizer,beta,grad_norm,loss,lr,seconds,step,tokens_seen,train_loss_hard_teacher_margin,update_norm,ce_grad_signal_norm_beta,centered_logit_mse,distill_eval_loss,hard_teacher_margin,hard_teacher_xent,hard_xent,kernel_effective_rank,kernel_overlap_initial,kernel_overlap_teacher_target,kl_beta_prime_1,log_softmax_mse,logit_mse,student_effective_support_beta,student_entropy_beta,student_entropy_beta_prime_1,student_fisher_trace_beta,student_fisher_trace_beta_prime_1,student_teacher_argmax_acc,student_top1_conf_beta,student_true_acc,teacher_effective_support_beta,teacher_entropy_beta,teacher_entropy_beta_prime_1,teacher_fisher_trace_beta,teacher_margin,teacher_top1_conf_beta,teacher_true_acc,xent_beta_prime_1,path,train_kl_beta,train_loss_temp_xent,train_loss_temp_xent_unscaled,distill_eval_loss_unscaled,kl_beta,train_loss_centered_logit_mse,train_loss_raw_logit_mse,beta_label,condition
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,21.97701189944775,1.3081047534942627,0.0008909716913921507,80.82700157165527,530.0,1087488.0,1.3081047534942627,0.8754256506454962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,11.118342162654345,0.5181142091751099,0.0008860696646428693,82.7220094203949,540.0,1107968.0,0.5181142091751099,0.7557149772337335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,13.998967523574924,0.3474929928779602,0.0008810757598029093,84.41847252845764,550.0,1128448.0,0.3474929928779602,0.5645027522126645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,9.989673806100463,0.31779515743255615,0.0008759913421559901,85.19371676445007,560.0,1148928.0,0.31779515743255615,0.6045482441596767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,12.918330141016826,0.24172818660736084,0.0008708178017311287,87.09758424758911,570.0,1169408.0,0.24172818660736084,0.4608774476893321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,8.006067434009546,0.3264824151992798,0.0008655565529226198,87.93865776062012,580.0,1189888.0,0.3264824151992798,0.5540549876884713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,8.675195616350008,0.2619360685348511,0.0008602090341033546,89.31055855751038,590.0,1210368.0,0.2619360685348511,0.4552033744012271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,12.010115198850169,0.23528558015823364,0.0008547767072315835,90.74235486984253,600.0,1230848.0,0.23528558015823364,0.5339902326017336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,eval,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,,,,90.74449706077576,600.0,,,,1.3078713417053223,10768.982421875,0.265776127576828,0.265776127576828,8.293606758117676,9.460874557495117,3.2055747509002686,0.9664290507341522,0.9999964833247487,5.494513511657715,11032.634765625,2417278.0,1.0,0.0,10.56236457824707,0.0,0.9999558925628662,0.0751953125,1.0,0.03515625,1.0,0.0,4.11316442489624,0.0,1.2421875,1.0,0.14453125,9.607677459716797,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,6.813599872096757,0.2406279742717743,0.0008492610574512317,94.1179838180542,610.0,1251328.0,0.2406279742717743,0.5376523985030309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,12.553431730955216,0.24474985897541046,0.0008436635926858759,94.5869288444519,620.0,1271808.0,0.24474985897541046,0.5127817815516188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
,train,,,,,,,xent_beta-inf_adamw_seed17,xent,adamw,inf,13.760619980140476,0.2653445303440094,0.0008379858432264925,95.32037782669067,630.0,1292288.0,0.2653445303440094,0.5441270836689397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,xent beta=inf adamw
